City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Port-Cartier,CA,50.0334,-66.8654,48.74,53,6,14.54,clear sky
308,Martapura,ID,-3.4167,114.85,82.49,78,20,3.44,few clouds
309,Inhambane,MZ,-23.865,35.3833,84.18,65,0,23.02,clear sky
310,Nyurba,RU,63.2842,118.3319,31.57,76,23,6.96,few clouds
311,Massakory,TD,12.996,15.7293,83.16,61,100,6.6,overcast clouds
312,Port Hawkesbury,CA,45.6169,-61.3485,58.62,76,100,11.5,overcast clouds
313,Kharp,RU,66.8014,65.8081,46.26,97,100,5.03,moderate rain
314,Tashla,RU,51.7716,52.7427,77.0,51,34,10.0,scattered clouds
315,Alyangula,AU,-13.8483,136.4192,77.13,89,34,3.83,scattered clouds
316,Nelson Bay,AU,-32.7167,152.15,62.01,59,82,4.0,broken clouds
317,Mucurapo,TT,10.6667,-61.5333,86.13,81,100,8.12,overcast clouds
318,Truckee,US,39.328,-120.1833,54.63,69,100,8.05,overcast clouds
319,Owensboro,US,37.7742,-87.1133,65.01,88,0,4.61,clear sky
320,Esna,EG,25.2934,32.554,98.62,13,0,15.59,clear sky
321,La Union,PE,-5.4,-80.75,66.94,76,98,9.57,overcast clouds
322,Sovetskaya,RU,44.7769,41.1722,100.72,13,33,2.95,scattered clouds
323,Mount Gambier,AU,-37.8333,140.7667,48.11,73,94,8.57,overcast clouds
324,Hovd,MN,48.0056,91.6419,48.49,45,1,2.73,clear sky
325,Glinishchevo,RU,53.3042,34.0652,53.73,100,100,8.95,overcast clouds
326,Saint-Joseph,RE,-21.3667,55.6167,73.78,77,34,12.06,scattered clouds
327,Pontal Do Parana,BR,-25.6533,-48.5128,67.98,88,100,6.11,overcast clouds
328,Pallasovka,RU,50.05,46.8833,80.55,47,97,12.77,overcast clouds
329,Bekovo,RU,52.4663,43.712,72.39,57,100,17.78,overcast clouds
330,Halifax,CA,44.6453,-63.5724,59.45,82,100,8.05,overcast clouds
331,Jiwani,PK,25.05,61.7417,81.73,74,0,5.7,clear sky
332,Coihaique,CL,-45.5752,-72.0662,36.21,75,75,3.44,broken clouds
333,Charters Towers,AU,-20.1,146.2667,72.91,78,54,9.31,broken clouds
